date,STOXX50E,FTSE100,FTSE250,DAX40,MDAX,TecDAX,CAC40,AEX,IBEX35,SMI
2021-01-14,3641.3701171875,6802,20775.80078125,13988.7001953125,31572.080078125,3291.919921875,5681.14013671875,656.65997314453125,8372.400390625,10850.8095703125
2021-03-29,3882.8701171875,6736.2001953125,21435.5,14817.7197265625,31460.5,3368.639892578125,6015.509765625,697.94000244140625,8492.099609375,11089.599609375
2020-01-29,3736.360107421875,7483.60009765625,21469,13345,28513.5,3157.64990234375,5954.89013671875,605.219970703125,9546.7001953125,10859.8798828125
2013-02-22,2630.050048828125,6335.7001953125,13668.900390625,7661.91015625,13119.7998046875,906.7100219726564,3706.280029296875,339.8699951171875,8178.99169921875,7554.3798828125
2011-10-18,2306.81005859375,5410.39990234375,10178.900390625,5877.41015625,8973.8603515625,677.55999755859375,3141.10009765625,298.67999267578125,8811.291015625,5682.509765625
2023-03-06,4313.77978515625,7929.7998046875,20064.099609375,15653.580078125,29172.98046875,3278.3701171875,7373.2099609375,759.8300170898436,9511,11147.25
2018-07-04,3412.030029296875,7573.10009765625,20652.5,12317.6103515625,25664.0703125,2698.239990234375,5320.5,549.219970703125,9757.5,8663.5302734375
2015-09-03,3270.090087890625,6194.10009765625,17087.19921875,10317.83984375,19780.2109375,1718.219970703125,4653.7900390625,444.5499877929687,10042.390625,8775.6396484375
2024-09-25,4916.89013671875,8268.7001953125,20755.400390625,18918.5,26317.30078125,3298.89990234375,7565.6201171875,906.030029296875,11792.599609375,12148.3798828125
2016-02-12,2756.159912109375,5707.60009765625,15431.2998046875,8967.509765625,17924.029296875,1512.22998046875,3995.06005859375,391.8599853515625,7920.7919921875,7656.60009765625
2016-03-04,3037.35009765625,6199.39990234375,16931.19921875,9824.169921875,19781.26953125,1653.5699462890625,4456.6201171875,437.989990234375,8811.5908203125,7982.56982421875
2015-04-01,3714.889892578125,6809.5,17123.400390625,12001.3798828125,20840.55078125,1614,5062.22021484375,490.0400085449219,11569.7880859375,9137.259765625
2025-01-16,5106.93017578125,8391.900390625,20527.69921875,20655.390625,25511.380859375,3549.739990234375,7634.740234375,907.65997314453125,11840.599609375,11942
2013-09-19,2936.199951171875,6625.39990234375,15137.099609375,8694.1796875,15059.150390625,1074.5400390625,4206.0400390625,382.5799865722656,9153.69140625,8092.2900390625
2021-10-26,4223.97021484375,7277.60009765625,23161.30078125,15757.0595703125,35106.30078125,3847.06005859375,6766.509765625,816.90997314453125,9001.599609375,12146.51953125
2017-08-16,3484.570068359375,7433,19859.19921875,12263.8603515625,24965.189453125,2267.39990234375,5176.60986328125,525.8900146484375,10544.2998046875,9037.919921875
2022-03-31,3902.52001953125,7515.7001953125,21160.099609375,14414.75,31011.7109375,3302.840087890625,6659.8701171875,724.20001220703125,8445.099609375,12161.5302734375
2015-02-23,3519.580078125,6912.2001953125,17168,11130.919921875,19851.73046875,1569.6400146484375,4862.2998046875,475.2200012207031,10990.0888671875,8977.6904296875
2015-07-27,3513.10009765625,6505.10009765625,17267.599609375,11056.400390625,20103.19921875,1751.9599609375,4927.60009765625,481.5199890136719,11145.388671875,9194.48046875
2014-11-21,3194.219970703125,6750.7998046875,15691.599609375,9732.5498046875,16840.939453125,1329.02001953125,4347.22998046875,423.4599914550781,10520.7890625,9080.5498046875
2012-06-06,2137.72998046875,5384.10009765625,10583.7998046875,6093.990234375,10036.099609375,736.219970703125,3058.43994140625,291.3900146484375,6418.8935546875,5822.6298828125
2015-03-03,3549.110107421875,6889.10009765625,17146,11280.3603515625,19883.6796875,1567.6099853515625,4869.25,480.05999755859375,11014.689453125,8954.6796875
2019-03-13,3323.449951171875,7159.2001953125,19180.099609375,11572.41015625,24857.44921875,2653.280029296875,5306.3798828125,539.260009765625,9192.7001953125,9387.4296875
2016-08-17,2980.5400390625,6859.2001953125,17758.69921875,10537.669921875,21469.98046875,1698.02001953125,4417.68017578125,447.5700073242187,8487,8153.7998046875
2022-10-14,3381.72998046875,6858.7998046875,17032.80078125,12437.8095703125,22332.630859375,2714.889892578125,5931.919921875,630.58001708984375,7382.5,10329.33984375
2019-06-17,3383.2099609375,7357.2998046875,19157.599609375,12085.8203125,25305.609375,2794.139892578125,5390.9501953125,552.280029296875,9131.7001953125,9851.5703125
2021-06-29,4107.509765625,7087.60009765625,22542.19921875,15690.58984375,34295.8515625,3605.47998046875,6567.43017578125,734.19000244140625,8915.099609375,12028.4501953125
2016-11-28,3016.800048828125,6799.5,17518.30078125,10582.669921875,20805.060546875,1709.9300537109375,4510.39013671875,452.7099914550781,8619.2998046875,7823.22998046875
2017-10-24,3610.68994140625,7526.5,20113.19921875,13013.1904296875,26137.44921875,2487.530029296875,5394.7998046875,543.66998291015625,10205.7001953125,9194.83984375
2018-04-16,3441.0400390625,7198.2001953125,19771.5,12391.41015625,25538.26953125,2607.6201171875,5312.9599609375,546.6199951171875,9766.099609375,8726.5400390625
2011-11-09,2249.389892578125,5460.39990234375,10268.900390625,5829.5400390625,8871.3798828125,691.6500244140625,3075.159912109375,294.3999938964844,8340.5908203125,5607.85009765625
2023-02-24,4178.81982421875,7878.7001953125,19696.5,15209.740234375,28424.810546875,3200.35009765625,7187.27001953125,746.40997314453125,9201.5,11181.76953125
2017-07-27,3493.139892578125,7443,19879.400390625,12212.0400390625,24860.66015625,2283.409912109375,5186.9501953125,530.3499755859375,10603.400390625,9017.7900390625
2021-10-13,4083.280029296875,7141.7998046875,22635.30078125,15249.3798828125,33757.26171875,3649.530029296875,6597.3798828125,777.52001953125,8881.400390625,11814.58984375
2013-04-08,2589.25,6276.89990234375,13523.7001953125,7662.64013671875,12988.990234375,912.6400146484376,3666.780029296875,340.9100036621094,7787.09228515625,7691.83984375
2018-09-19,3368.56005859375,7331.10009765625,20500.5,12219.01953125,26248.939453125,2867.02001953125,5393.740234375,543.07000732421875,9486.2998046875,8939.849609375
2012-07-11,2246.22998046875,5664.5,10967.7998046875,6453.85009765625,10446.169921875,752.3599853515625,3157.25,312.54998779296875,6805.89306640625,6174.75
2022-10-20,3492.85009765625,6943.89990234375,17388.900390625,12767.41015625,23273.029296875,2755.22998046875,6086.89990234375,652.03997802734375,7644.39990234375,10473.4501953125
2015-10-08,3224.9599609375,6374.7998046875,17003.80078125,9993.0703125,20108.0703125,1773.239990234375,4675.91015625,442.0799865722656,10181.189453125,8674.169921875
2021-08-04,4144.89990234375,7123.89990234375,23347.69921875,15692.1298828125,35485.55078125,3761.8798828125,6746.22998046875,766.239990234375,8792.900390625,12178.740234375
2021-05-12,3947.429931640625,7004.60009765625,22107.80078125,15150.2197265625,31638.6796875,3262.389892578125,6279.35009765625,694.760009765625,9007.7001953125,11033.900390625
2018-04-27,3518.780029296875,7502.2001953125,20271.599609375,12580.8701171875,25859.490234375,2625.9599609375,5483.18994140625,554.94000244140625,9925.400390625,8843.01953125
2014-09-15,3231.699951171875,6804.2001953125,15649.2001953125,9659.6298828125,16122.6201171875,1251.050048828125,4428.6298828125,417.6499938964844,10841.2890625,8796.41015625
2023-03-03,4294.7998046875,7947.10009765625,19925.80078125,15578.3896484375,28918.650390625,3245.679931640625,7348.1201171875,760.57000732421875,9464.2001953125,11190.08984375
2018-08-08,3493.60009765625,7776.7001953125,20770.599609375,12633.5400390625,26793.830078125,2927.199951171875,5501.89990234375,573.70001220703125,9747.099609375,9176.150390625
2015-04-16,3751.719970703125,7060.5,17730.30078125,11998.8603515625,21333.58984375,1654.3299560546875,5224.490234375,504.3800048828125,11611.6884765625,9398.599609375
2023-02-13,4241.35986328125,7947.60009765625,20124.5,15397.33984375,28509.099609375,3268.7099609375,7208.58984375,762.6400146484375,9210.2998046875,11209.33984375
2023-03-30,4285.419921875,7620.39990234375,18907.69921875,15522.400390625,27458.7890625,3323.659912109375,7263.3701171875,752.4600219726564,9207.099609375,11032.2099609375
2012-04-02,2501.179931640625,5874.89990234375,11655.099609375,7056.64990234375,10873.2197265625,797.719970703125,3462.909912109375,326.3900146484375,8042.79150390625,6299.3798828125
2024-01-25,4582.259765625,7529.7001953125,19223.099609375,16906.919921875,26075.580078125,3335.320068359375,7464.2001953125,814.8699951171875,9916.599609375,11209.01953125
2016-02-05,2879.389892578125,5848.10009765625,16002.2998046875,9286.23046875,18685.740234375,1592.719970703125,4200.669921875,413.94000244140625,8499.4912109375,7960.1298828125
2011-09-06,2080.10009765625,5156.7998046875,10071.2001953125,5193.97021484375,8334.9296875,691.80999755859375,2965.639892578125,273.3299865722656,7936.39208984375,5367.240234375
2011-11-17,2242.780029296875,5423.10009765625,10150.2998046875,5850.169921875,8720.509765625,680.4000244140625,3010.2900390625,290.2099914550781,8270.5908203125,5644.6201171875
2016-05-13,2956.6298828125,6138.5,16650.30078125,9952.900390625,20152.259765625,1645.4300537109375,4319.990234375,433.5199890136719,8721.4912109375,7925.759765625
2021-09-27,4165.47998046875,7063.39990234375,23608.599609375,15573.8798828125,35274.140625,3844.780029296875,6650.91015625,788.6699829101564,9002.900390625,11691.1796875
2019-08-21,3394.889892578125,7204,19207.80078125,11802.849609375,25456.740234375,2783.550048828125,5435.47998046875,550.41998291015625,8701.5,9848.1103515625
2013-05-30,2799.199951171875,6657,14442.7001953125,8400.2001953125,14135.9501953125,969.05999755859375,3996.31005859375,367.69000244140625,8433.4912109375,8021.56982421875
2017-07-06,3462.06005859375,7337.2998046875,19369.099609375,12381.25,24557.080078125,2213.64990234375,5152.39990234375,509.94000244140625,10498.400390625,8886.9501953125
2011-07-29,2670.3701171875,5815.2001953125,11552.099609375,7158.77001953125,10486.8798828125,820.70001220703125,3672.77001953125,329.2200012207031,9630.6904296875,5783.35009765625
2013-12-10,2960.860107421875,6523.2998046875,15410.7998046875,9114.4404296875,15954.169921875,1137,4091.139892578125,385.55999755859375,9438.2900390625,7971.83984375
2022-11-10,3846.56005859375,7375.2998046875,19377.19921875,14146.08984375,25270.810546875,3068.010009765625,6556.830078125,700.6500244140625,8133.2001953125,11120.490234375
2011-08-17,2331.1201171875,5331.60009765625,10369.400390625,5948.93994140625,9084.0302734375,721.7100219726564,3254.340087890625,292.6499938964844,8728.19140625,5421.2099609375
2012-03-12,2514.969970703125,5892.7998046875,11563.900390625,6901.35009765625,10530.98046875,765.1099853515625,3490.06005859375,326.1000061035156,8180.19189453125,6189.85986328125
2012-02-15,2493.9599609375,5892.2001953125,11288.900390625,6757.93994140625,10352.9697265625,780.9199829101564,3390.35009765625,322.8599853515625,8741.5908203125,6198.33984375
2017-01-23,3273.0400390625,7151.2001953125,18116,11545.75,22568.48046875,1830.3800048828125,4821.41015625,482.7099914550781,9304.7998046875,8229.009765625
2011-03-01,2983.27001953125,5935.7998046875,11574.099609375,7223.2998046875,10304.8203125,900.1300048828125,4067.14990234375,367.9500122070313,10761.8896484375,6619.35986328125
2021-02-08,3665.510009765625,6523.5,21086.599609375,14059.91015625,32474.0703125,3525.6298828125,5686.02978515625,656.3900146484375,8219,10778.830078125
2019-09-17,3521.260009765625,7320.39990234375,20040.5,12372.6103515625,25958.009765625,2879.8701171875,5615.509765625,574.92999267578125,9004.2001953125,10013.8203125
2012-04-13,2291.510009765625,5651.7998046875,11311.099609375,6583.89990234375,10494,777.219970703125,3189.090087890625,306.1199951171875,7250.5927734375,6072.1201171875
2024-06-07,5051.31005859375,8245.400390625,20555.400390625,18557.26953125,26861.0703125,3454.72998046875,8001.7998046875,923.7100219726564,11404.900390625,12254.759765625
2021-07-13,4094.56005859375,7124.7001953125,22926.80078125,15789.6396484375,34920.6015625,3645.77001953125,6558.47021484375,742.8599853515625,8694.7998046875,12071.0498046875
2023-12-27,4528.3798828125,7725,19720.80078125,16742.0703125,27157.630859375,3339.89990234375,7571.81982421875,786.84002685546875,10121.7998046875,11113.98046875
2022-07-11,3471.68994140625,7196.60009765625,18837,12832.4404296875,25695.529296875,2979.06005859375,5996.2998046875,669.16998291015625,8065.2001953125,11027.16015625
2022-05-30,3841.6201171875,7600.10009765625,20546.900390625,14575.98046875,30188.01953125,3226.969970703125,6562.39013671875,708.34002685546875,8930.7998046875,11736.259765625
2021-03-18,3867.5400390625,6779.7001953125,21568.599609375,14775.51953125,31972.9609375,3400.06005859375,6062.7900390625,682.3900146484375,8624.599609375,10973.759765625
2021-10-20,4172.169921875,7223.10009765625,22966.69921875,15522.919921875,34540.48046875,3749.22998046875,6705.60986328125,805.469970703125,9017.900390625,12013.150390625
2023-09-07,4221.02001953125,7441.7001953125,18383.900390625,15718.66015625,27160.830078125,3109.800048828125,7196.10009765625,739.7100219726564,9310,10993.4296875
2015-10-30,3418.22998046875,6361.10009765625,17117.19921875,10850.1396484375,21174.529296875,1799.47998046875,4897.66015625,462.1199951171875,10360.689453125,8938.650390625
2014-01-29,3011.449951171875,6544.2998046875,15688.2998046875,9336.73046875,16309.259765625,1217.6700439453125,4156.97998046875,389.3299865722656,9896.1904296875,8135.81005859375
2024-05-16,5072.4501953125,8438.7001953125,20822.80078125,18738.810546875,27508.470703125,3444.030029296875,8188.490234375,913.55999755859375,11299.2998046875,11946.66015625
2012-07-12,2228.010009765625,5608.2998046875,10924.099609375,6419.35009765625,10388.2802734375,739.469970703125,3135.179931640625,311.4200134277344,6630.09326171875,6147.56982421875
2025-06-12,5360.81982421875,8884.900390625,21386.69921875,23771.44921875,30201.69921875,3860.739990234375,7765.10986328125,930.47998046875,14088.900390625,12323.400390625
2019-04-10,3424.64990234375,7421.89990234375,19484.80078125,11905.91015625,25165.83984375,2741.72998046875,5449.8798828125,561.8499755859375,9406.5,9556.3095703125
2019-06-27,3442.3798828125,7402.2998046875,19314.5,12271.0302734375,25341.1796875,2836.35009765625,5493.60986328125,557.530029296875,9147.7998046875,9859.759765625
2013-02-08,2630.300048828125,6263.89990234375,13375.2998046875,7652.14013671875,12759.5595703125,885.30999755859375,3649.5,345.1300048828125,8174.8916015625,7395.97021484375
2011-01-20,2927.419921875,5867.89990234375,11505,7024.27001953125,10075.599609375,863.17999267578125,3964.840087890625,356.1400146484375,10636.8896484375,6513.5
2019-08-16,3329.080078125,7117.2001953125,18821.900390625,11562.740234375,24817.080078125,2703.260009765625,5300.7900390625,541.94000244140625,8670.400390625,9728.3896484375
2019-04-17,3477.72998046875,7471.2998046875,19858.099609375,12153.0703125,25796.8203125,2813.090087890625,5563.08984375,566.19000244140625,9549.7998046875,9596.599609375
2018-10-24,3130.330078125,6963,18406.5,11191.6298828125,23278.150390625,2531.800048828125,4953.08984375,507.7999877929687,8677.400390625,8724.6103515625
2014-02-03,2963.9599609375,6465.7001953125,15558.2001953125,9186.51953125,16013.830078125,1211.93994140625,4107.75,383.6300048828125,9725.390625,8107.02001953125
2021-01-06,3611.080078125,6841.89990234375,20973.19921875,13891.9697265625,31121.009765625,3241.2900390625,5630.60009765625,639.15997314453125,8350.2998046875,10747.080078125
2016-06-10,2911.110107421875,6115.7998046875,16827.5,9834.6201171875,20185.16015625,1641.8199462890625,4306.72021484375,435.7699890136719,8490.4912109375,7922.7099609375
2024-08-27,4898.77978515625,8345.5,21162.099609375,18681.810546875,25281.220703125,3348.419921875,7565.77978515625,907.94000244140625,11326.900390625,12296.7197265625
2015-07-23,3634.639892578125,6655,17619.099609375,11512.1103515625,20749.109375,1816.22998046875,5086.740234375,496.3500061035156,11441.888671875,9381.5703125
2023-02-20,4271.18017578125,8014.2998046875,20098.400390625,15477.5498046875,28804.220703125,3266.199951171875,7335.60986328125,762.6300048828125,9281.2998046875,11266.6796875
2015-02-16,3433.300048828125,6857.10009765625,16861.19921875,10923.23046875,19282.9609375,1523.010009765625,4751.9501953125,462.8200073242187,10689.4892578125,8712.6904296875
2021-07-26,4102.58984375,7025.39990234375,22933.19921875,15618.98046875,35088.55078125,3644.419921875,6578.60009765625,745.0999755859375,8775.2001953125,12049.6298828125
2023-05-12,4317.8798828125,7754.60009765625,19188.400390625,15913.8203125,27335.3203125,3230.159912109375,7414.85009765625,752.989990234375,9234.099609375,11564.73046875
2020-07-14,3321.389892578125,6179.7998046875,17174.69921875,12697.3603515625,26689.69921875,3026.300048828125,5007.4599609375,572.510009765625,7352,10259.5
2016-11-24,3040.60009765625,6829.2001953125,17590.599609375,10689.259765625,20780.220703125,1727.6400146484375,4542.56005859375,457.44000244140625,8657.2001953125,7798.5
2024-09-06,4738.06005859375,8181.5,20494,18301.900390625,25046.51953125,3225.77001953125,7352.2998046875,879.2899780273436,11173,11908.240234375
2013-09-27,2919.340087890625,6512.7001953125,14924.900390625,8661.509765625,15077.8095703125,1087.68994140625,4186.77001953125,375.7699890136719,9228.390625,8055
2019-10-31,3604.409912109375,7248.39990234375,20021.5,12866.7900390625,26249.30078125,2796.5,5729.85986328125,576.6300048828125,9257.5,10219.8203125
2015-08-21,3247.260009765625,6187.7001953125,16876.599609375,10124.51953125,19341.98046875,1624.5999755859375,4630.990234375,442.8699951171875,10271.689453125,8798.5703125
2024-02-28,4883.77001953125,7625,19013.599609375,17601.220703125,25885.75,3389.31005859375,7954.39013671875,847.4600219726564,10068.599609375,11414.3798828125
2015-06-18,3450.449951171875,6707.89990234375,17678.900390625,11100.2998046875,19522.580078125,1637.780029296875,4803.47998046875,472.9700012207031,10871.8896484375,8880.2900390625
2017-02-20,3312.389892578125,7299.89990234375,18746.19921875,11827.6201171875,23453.990234375,1899.27001953125,4864.990234375,495.6600036621094,9526.599609375,8514.51953125
2018-11-14,3205.360107421875,7033.7998046875,18910.099609375,11412.5302734375,24034.349609375,2591.330078125,5068.85009765625,527.1400146484375,9106.599609375,8931.2001953125
2017-02-10,3270.830078125,7258.7998046875,18715.400390625,11666.9697265625,23032.19921875,1870.6500244140625,4828.31982421875,489.55999755859375,9378.099609375,8456.2197265625
2012-12-12,2630.340087890625,5945.89990234375,12224.2998046875,7614.7900390625,11952.1201171875,835.780029296875,3646.659912109375,344.3500061035156,7986.79150390625,6959.39013671875
2019-08-14,3288.699951171875,7147.89990234375,18731.099609375,11492.66015625,24660.509765625,2696.669921875,5251.2998046875,536.65997314453125,8522.7001953125,9628.48046875
2023-06-28,4344.75,7500.5,18412.80078125,15949,27220.44921875,3145.409912109375,7286.31982421875,767.77001953125,9481.2998046875,11183.5498046875
2018-10-17,3243.080078125,7054.60009765625,19014,11715.0302734375,24413.66015625,2686.889892578125,5144.9501953125,527.58001708984375,8997.2001953125,8750.349609375
2018-08-15,3359.080078125,7497.89990234375,20320.400390625,12163.009765625,26200.939453125,2843.139892578125,5305.22021484375,552.70001220703125,9386.7998046875,8926.23046875
2015-07-17,3670.340087890625,6775.10009765625,17755.900390625,11673.419921875,20996.76953125,1801.0799560546875,5124.39013671875,500.4299926757813,11480.6884765625,9446.169921875
2011-09-05,2107.27001953125,5102.60009765625,10084.099609375,5246.18017578125,8402.919921875,696.58001708984375,2999.5400390625,274.45001220703125,8066.49169921875,5142.990234375
2015-06-01,3575.0400390625,6953.60009765625,18220.19921875,11436.0498046875,20625.259765625,1697.5999755859375,5025.2998046875,492.25,11238.087890625,9267.4404296875
2023-10-26,4049.39990234375,7354.60009765625,16783.099609375,14731.0498046875,23796.75,2834.320068359375,6888.9599609375,719.29998779296875,8962.7998046875,10367.6904296875
2024-03-27,5081.740234375,7932,19810.69921875,18477.08984375,27091.94921875,3457.360107421875,8204.8095703125,879.0999755859375,11111.2998046875,11705.7099609375
2016-08-26,3010.360107421875,6838.10009765625,17930.80078125,10587.76953125,21560.140625,1723.199951171875,4441.8701171875,453.010009765625,8659.5,8168.31982421875
2020-04-21,2791.340087890625,5641,15399.2998046875,10249.849609375,21948.25,2832.10009765625,4357.4599609375,495.760009765625,6634.89990234375,9547.849609375
2013-07-01,2622.6201171875,6307.7998046875,14030.7001953125,7983.919921875,13806.400390625,955.1500244140624,3767.47998046875,347.3699951171875,7907.09228515625,7741.06982421875
2020-09-08,3267.3701171875,5930.2998046875,17625.19921875,12968.330078125,27210.33984375,3024.02001953125,4973.52001953125,540.78997802734375,6955,10250.4404296875
2022-04-27,3734.639892578125,7425.60009765625,20437.80078125,13793.9404296875,29816.3203125,3091.050048828125,6445.259765625,696.3499755859375,8477.7001953125,12051.48046875
2011-07-11,2709.139892578125,5929.2001953125,11880.099609375,7230.25,10813.150390625,877.67999267578125,3807.510009765625,336.1600036621094,9670.58984375,6053
2020-03-16,2450.3701171875,5151.10009765625,14349.7998046875,8742.25,19230.19921875,2286.72998046875,3881.4599609375,416.7699890136719,6107.2001953125,8227.080078125
2013-10-21,3028.64990234375,6654.2001953125,15522,8867.2197265625,15800.0703125,1118.81005859375,4276.919921875,388.2799987792969,10037.7900390625,8124.080078125
2019-01-29,3153.419921875,6833.89990234375,18702.599609375,11218.830078125,23689.330078125,2632.4599609375,4928.18017578125,515,9119.099609375,8940.51953125
2022-09-07,3502.090087890625,7237.7998046875,18811.5,12915.9697265625,24996.30078125,2927.18994140625,6105.919921875,671.27001953125,7855.89990234375,10805.16015625
2024-10-10,4970.33984375,8237.7001953125,20708.400390625,19210.900390625,26745.7890625,3368.25,7541.58984375,911.32000732421875,11656.7001953125,12077.759765625
2014-10-22,3008.530029296875,6399.7001953125,15170.099609375,8940.1396484375,15583.3701171875,1208.22998046875,4105.08984375,396.010009765625,10249.8896484375,8506.1396484375
2022-12-07,3920.89990234375,7489.2001953125,18930.599609375,14261.1904296875,25263.080078125,3028.010009765625,6660.58984375,718.34002685546875,8290.5,11009.9501953125
2020-04-30,2927.929931640625,5901.2001953125,16454.5,10861.6396484375,23043.69921875,2854.64990234375,4572.18017578125,512.91998291015625,6922.2998046875,9629.400390625
2014-06-23,3282.580078125,6800.60009765625,15675.2998046875,9920.919921875,16846.970703125,1322.4300537109375,4515.56982421875,415.5899963378906,11118.2880859375,8644.5703125
2023-12-20,4533.81982421875,7715.7001953125,19629.099609375,16733.05078125,27353.01953125,3337.610107421875,7583.43017578125,793.69000244140625,10101,11144.8798828125
2015-01-14,3089.669921875,6388.5,15872.099609375,9817.080078125,17264.560546875,1421.6300048828125,4223.240234375,418.3299865722656,9845.990234375,9198.2001953125
2013-07-12,2674.8701171875,6544.89990234375,14699.400390625,8212.76953125,14014.1396484375,991.67999267578125,3855.090087890625,364.9500122070313,7844.6923828125,7983.18017578125
2018-11-05,3217.3701171875,7103.7998046875,19063.69921875,11494.9599609375,24250.560546875,2647.760009765625,5101.39013671875,521.94000244140625,9010.7001953125,9008.580078125
2012-12-07,2601.3701171875,5914.39990234375,12187.599609375,7517.7998046875,11896.73046875,835.7899780273436,3605.610107421875,342.6099853515625,7848.4921875,6925.25
2019-02-21,3263.699951171875,7167.39990234375,19236.900390625,11423.2802734375,24301.560546875,2601.85009765625,5196.10986328125,540.57000732421875,9191.2001953125,9333.5703125
2011-08-15,2324.47998046875,5350.60009765625,10531.7998046875,6022.240234375,9318.1904296875,756.7100219726564,3239.06005859375,293.70001220703125,8708.9912109375,5324.72998046875
2022-01-31,4174.60009765625,7464.39990234375,21926.599609375,15471.2001953125,33321.73046875,3458.080078125,6999.2001953125,755.20001220703125,8612.7998046875,12226.7001953125
2017-09-01,3443.8798828125,7438.5,19786.19921875,12142.6396484375,24826.98046875,2310.989990234375,5123.259765625,518.17999267578125,10325.5,8941.6201171875
2022-06-30,3454.860107421875,7169.2998046875,18666.80078125,12783.76953125,25823.44921875,2885.6201171875,5922.85986328125,659.22998046875,8098.7001953125,10741.2099609375
2019-12-30,3748.469970703125,7587.10009765625,21936.30078125,13249.009765625,28312.80078125,3014.93994140625,5982.22021484375,605.83001708984375,9612.599609375,10616.9404296875
2019-12-18,3739,7540.7998046875,21663.099609375,13222.16015625,28192.359375,3032.43994140625,5959.60009765625,606.03997802734375,9621.7998046875,10556.740234375
2021-02-01,3530.85009765625,6466.39990234375,20392.599609375,13622.01953125,31441.30078125,3412.169921875,5461.68017578125,647.34002685546875,7798.2001953125,10740.2197265625
2015-03-19,3670.72998046875,6962.2998046875,17438.19921875,11899.400390625,20786.380859375,1639.72998046875,5037.18017578125,496.010009765625,11090.98828125,9328.48046875
2012-04-27,2344.02001953125,5777.10009765625,11479.7001953125,6801.31982421875,10910.1103515625,791.47998046875,3266.27001953125,310.75,7145.79248046875,6116.35986328125
2024-08-29,4966.27001953125,8379.599609375,21031.099609375,18912.5703125,25508.740234375,3403.5,7640.9501953125,923.780029296875,11358.599609375,12417.7197265625
2022-08-02,3684.6298828125,7409.10009765625,19874.099609375,13449.2001953125,27380.109375,3119.830078125,6409.7998046875,725.75,8096.89990234375,11118.099609375
